nmkop,nobh,ang_laki,ang_wanita,kary_laki,kary_wanita,mgr_laki,mgr_wanita,modalsendiri,modalluar,volusaha,shu,asset,tglrat,tahun_laporan
KUD. Tirtha Luhur,91/BH/PAD/KWK 22/III/1996,2542,808,1,5,1,0,3159042032,872677158,2286364874,34612032,1898307250,2026-02-06,2026
KPN. Dharma Yasa,05/BH/PAD/KWK 22./II/1996,84,70,0,3,0,0,1505119383,307462354,1632692367,-15621768,1812581737,2025-06-14,2026
KSP. Dana Mukti,12/BH/Diskop/XI/2003,566,515,6,8,1,0,2524185381,19896012954,15218986550,112508354,22420198335,2026-01-25,2026
KSU. Anyar Sari,09/BH/Disperindagkop/VII/2005,147,111,2,0,0,0,1530754479,12972620867,1530754479,121990061,7641583551,2026-02-21,2026
Koperasi Konsumen Sentana Sukaji Rami,014073/BH/M.KUKM.2/VII/2019,93,69,0,0,0,0,567564072,601330679,986150500,23484357,1168894751,2026-02-09,2026
Koperasi Simpan Pinjam Teja Karya Mandiri,AHU-0003288.AH.01.26 TAHUN 2020,16,9,1,1,0,0,57260081,22386297,50000000,1031940,94260081,2023-03-30,2026
