idkop;nmkop;kelurahan;kecamatan;nobh;tglbh;aktif;tdkaktif;Anggt;rat;tglrat;Krywn;Mngr;modalsendiri;modalluar;volusaha;shu;asset
 214 ; KSP. Sedana Dharma Ita ; Desa Bungkulan ; Sawan ; 008098/BH/M.KUKM.2/IV/2018 ;11/04/2018; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 215 ; KSP. Sedana Murti Yadnya Wisesa ; Sawan ; Sawan ; 008694/BH/M.KUKM.2/VI/2018 ;05/06/2018; 1 ; - ; 62 ; - ;19/10/2020; 5 ; - ; (8.469.987); 182.323.500 ; 60.168.000 ; (56.860.987); 173.853.513 
 216 ; KSP. Mega Artha Rahayu ; Desa Sambangan ; Sukasada ; 00872/BH/M.KUKM.2/IV/2018 ;05/06/2018; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 217 ; KSP. Tunas Jaya Pumahan ; Desa Gitgit ; Sukasada ; 008849/BH/M.KUKM.2/VII/2018 ;04/07/2018; 1 ; - ; 76 ; - ;29/04/2025; 1 ; - ; 54.740.000 ; 50.345.000 ; 60.250.000 ; 3.600.000 ; 105.085.000 
 218 ; KSP. Amrita Citta Sanjiwani ; Desa Selat ; Sukasada ; 009208/BH/M.KUKM.2/VIII/2018 ;02/08/2018; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 219 ; KSP. Karya Adil Sejahtera ; Desa Kaliasem ; Banjar ; 009715/BH/M.KUKM.2/IX/2018 ;26/09/2018; 1 ; - ; 22 ; - ;21/04/2019; 3 ; - ; 7.222.246 ; 45.763.500 ; 83.845.000 ; 22.246 ; 52.985.746 
 220 ; KSP. Bali Shanti Mandiri ; Desa Alas Angker ; Buleleng ; 011330/BH/M.KUKM.2/XII/2018 ;21/12/2018; 1 ; - ; 80 ; 1 ;11/03/2026; 1 ; - ; 145.189.000 ; 32.874.000 ; 402.700.000 ; 11.327.000 ; 178.063.000 
 221 ; KSP. Bali Jaya Abadi ; Kel. Banyuning ; Buleleng ; 011331/BH/M.KUKM.2/XII/2018 ;21/12/2018; 1 ; - ; 566 ; 1 ;11/03/2026; 3 ; - ; 1.463.881.519 ; 16.818.373 ; 1.262.740.700 ; 55.406.700 ; 1.480.699.892 
 222 ; Koperasi Simpan Pinjam Harsadi Mandiri Jaya ; Desa Musi ; Gerokgak ; 012736/BH/M.KUKM.2/III/2019 ;18/03/2019; 1 ; - ; 381 ; 1 ;15/02/2026; 4 ; - ; 253.709.996 ; 974.838.063 ; 639.600.000 ; 20.011.030 ; 1.228.548.059 
 223 ; Koperasi Simpan Pinjam Sari Rahayu Nadi Sejahtera ; Desa Pejarakan ; Gerokgak ; 012780/BH/M.KUKM.2/III/2019 ;25/03/2019; 1 ; - ; 558 ; 1 ;24/01/2026; 9 ; - ; 1.054.474.703 ; 2.181.062.549 ; 2.777.156.552 ; 18.269.407 ; 3.235.537.252 
 224 ; Koperasi Simpan Pinjam Amertha Sedhana Yogha ; Desa Pengulon ; Gerokgak ; 012735/BH/M.KUKM.2/III/2019 ;18/03/2019; 1 ; - ; 27 ; - ;19/01/2020; - ; - ; 61.900.000 ; 1.703.884.968 ; 1.212.851.994 ; 2.500.000 ; 1.765.784.968 
 225 ; Koperasi Simpan Pinjam Taman Rama Sejahtera ; Desa Temukus ; Banjar ; 012734/BH/M.KUKM.2/III/2019 ;18/03/2019; 1 ; - ; 404 ; 1 ;12/02/2026; 3 ; 1 ; 904.719.572 ; 1.744.408.493 ; 2.756.150.000 ; 143.564.370 ; 2.649.128.065 
 226 ; Koperasi Simpan Pinjam Wahana Dana Bhakti ; Desa Bukti ; Kubutambahan ; 013094/BH/M.KUKM.2/IV/2019 ;15/04/2019; 1 ; - ; 282 ; 1 ;31/01/2026; 2 ; - ; 324.495.581 ; 661.013.383 ; 845.909.199 ; 14.193.062 ; 985.508.964 
 227 ; Koperasi Simpan Pinjam Gadug Jaya Sejahtera ; Desa Bontihing ; Kubutambahan ; 013095/BH/M.KUKM.2/IV/2019 ;15/04/2019; 1 ; - ; 25 ; - ;30/04/2025; 4 ; 1 ; 416.874.058 ; 660.142.424 ; 580.344.000 ; 25.355.600 ; 1.077.016.482 
 228 ; Koperasi Simpan Pinjam Teja Karya Mandiri ; Desa Gerokgak ; Gerokgak ; AHU-0003288.AH.01.26,TAHUN 2020 ;16/04/2020; 1 ; - ; 25 ; - ;30/03/2023; 2 ; - ; 57.260.081 ; 22.386.297 ; 50.000.000 ; 1.660.081 ; 79.646.378 
 229 ; Koperasi Simpan Pinjam Putra Mas Utama ; Kerobokan ; Sawan ; AHU-0004079.AH.01.26.TAHUN 2020 ;07/07/2020; 1 ; - ; - ; - ;00/01/1900; - ; - ; - ; - ; - ; - ; - 
 230 ; Koperasi Simpan Pinjam Maju Mapan Mandiri Sejahtera ; Kayu Putih ; Banjar ; AHU-0007264.AH.01.26.TAHUN 2020 ;15/12/2020; 1 ; - ; 827 ; - ;12/11/2024; 5 ; - ; 254.190.824 ; 1.421.242.343 ; 1.265.587.000 ; 26.938.622 ; 1.675.433.167 
 233 ; KPN. Ikhlas ; Kel. Kampung bugis ; Buleleng ; 191/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 412 ; 1 ;24/02/2026; 2 ; - ; 8.443.047.132 ; 976.337.216 ; 8.982.994.785 ; 166.574.445 ; 9.419.384.348 
 234 ; KPN. Angkasa ; Banjar Jawa ; Buleleng ; 179/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 62 ; 1 ;13/03/2026; 1 ; - ; 683.519.728 ; 148.987.264 ; 731.673.606 ; 34.609.310 ; 832.506.992 
 235 ; KPN. Wiyata ; Kel. Astina ; Buleleng ; 178/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 190 ; 1 ;14/01/2026; 3 ; - ; 5.737.307.248 ; 637.303.248 ; 5.340.576.800 ; 98.307.768 ; 6.374.610.496 
 236 ; KPN. Sada ; Kel. Sukasada ; Sukasada ; 189/BH/PAD/KWK 22/III/1996 ;26/03/1996; 1 ; - ; 472 ; 1 ;30/01/2026; 2 ; - ; 4.502.292.711 ; 347.018.048 ; 3.629.777.482 ; 205.490.643 ; 4.849.310.759 
